UID,UNM,CMT
32661,Jack Nagel,3562
18654,Adam Vandenberg,3514
30282,arturo,2225
15946,Salvatore Sanfilippo,1684
96516,Brett Koonce,1334
8646,Mike McQuaid,1082
30912,Ayende Rahien,1014
59805,Jake Wharton,851
16786,Jason Davies,808
92299,Mike Bostock,792
30288,Kyle McDonald,759
11705,Isaac Z. Schlueter,742
27536,Alexey,724
4351,Nay,651
40586,Max Howell,628
9487,Misty De Meo,603
32350,David Fowler,538
30281,Theodore Watson,532
32347,N. Taylor Mullen,494
16689,Jonathan Marshall,491
